title,url,is_paid,course_by,skills,cluster_predicted
International Law in Action: the Arbitration of International Disputes,https://www.coursera.org/learn/arbitration-international-disputes,False,Universiteit Leiden, Problem Solving,4
International Law in Action: the Arbitration of International Disputes,https://www.coursera.org/learn/arbitration-international-disputes,False,Universiteit Leiden, Programming Principles,4
International Law in Action: the Arbitration of International Disputes,https://www.coursera.org/learn/arbitration-international-disputes,False,Universiteit Leiden, Research and Design,4
International Law in Action: the Arbitration of International Disputes,https://www.coursera.org/learn/arbitration-international-disputes,False,Universiteit Leiden, Software Engineering,4
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester,Data Science,4
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, Machine Learning,5
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, Artificial Neural Networks,5
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, Python Programming,4
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, Statistical Programming,4
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, Matlab,5
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, Reinforcement Learning,4
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, Business Psychology,5
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, Communication,5
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, Computer Networking,5
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, Computer Programming,5
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, Data Analysis,5
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, Data Analysis Software,5
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, Deep Learning,5
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, Entrepreneurship,5
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, General Statistics,5
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, Linear Algebra,5
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, Machine Learning Algorithms,5
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, Mathematics,5
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, Network Model,4
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, Probability & Statistics,4
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,False,University of Manchester, Probability Distribution,4
Oil & Gas Industry Operations and Markets,https://www.coursera.org/learn/oilandgas,False,Duke University,Computer Programming,1
Oil & Gas Industry Operations and Markets,https://www.coursera.org/learn/oilandgas,False,Duke University, Python Programming,1
Oil & Gas Industry Operations and Markets,https://www.coursera.org/learn/oilandgas,False,Duke University, Statistical Programming,1
Oil & Gas Industry Operations and Markets,https://www.coursera.org/learn/oilandgas,False,Duke University, Programming Principles,1
Oil & Gas Industry Operations and Markets,https://www.coursera.org/learn/oilandgas,False,Duke University, Theoretical Computer Science,1
Oil & Gas Industry Operations and Markets,https://www.coursera.org/learn/oilandgas,False,Duke University, Algorithms,2
Oil & Gas Industry Operations and Markets,https://www.coursera.org/learn/oilandgas,False,Duke University, Computational Logic,2
Oil & Gas Industry Operations and Markets,https://www.coursera.org/learn/oilandgas,False,Duke University, Computer Programming Tools,2
Oil & Gas Industry Operations and Markets,https://www.coursera.org/learn/oilandgas,False,Duke University, Mathematics,2
Oil & Gas Industry Operations and Markets,https://www.coursera.org/learn/oilandgas,False,Duke University, Mathematical Theory & Analysis,2
Understanding Einstein: The Special Theory of Relativity,https://www.coursera.org/learn/einstein-relativity,False,Stanford University,Algorithms,0
Understanding Einstein: The Special Theory of Relativity,https://www.coursera.org/learn/einstein-relativity,False,Stanford University, Theoretical Computer Science,0
Understanding Einstein: The Special Theory of Relativity,https://www.coursera.org/learn/einstein-relativity,False,Stanford University, Computer Programming,0
Understanding Einstein: The Special Theory of Relativity,https://www.coursera.org/learn/einstein-relativity,False,Stanford University, General Statistics,0
Understanding Einstein: The Special Theory of Relativity,https://www.coursera.org/learn/einstein-relativity,False,Stanford University, Probability & Statistics,0
Understanding Einstein: The Special Theory of Relativity,https://www.coursera.org/learn/einstein-relativity,False,Stanford University, Python Programming,0
Understanding Einstein: The Special Theory of Relativity,https://www.coursera.org/learn/einstein-relativity,False,Stanford University, Statistical Programming,0
